,,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
Lead Origin,0,[3 0],2911,0.3938041125541126,2020,891,0.3060803847475094,0.35188883166294627,0.04641371213687337,0.005771964723357465
Lead Origin,1,[1],3903,0.5280032467532467,2484,1419,0.3635664873174481,0.09329823463183162,0.004544161477597299,0.000567814259066813
Lead Origin,2,[2 4],578,0.07819264069264069,39,539,0.9325259515570934,-3.0927734560408453,0.5585689690613299,0.0508797564550329
Lead Origin,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.6095268426758006,0.05721953543745718
Lead Source,0,[18  9 19 17  2  6 11 15],1554,0.21022727272727273,1176,378,0.24324324324324326,0.6683604015774894,0.08433481933868292,0.010349919979088032
Lead Source,1,[1],2049,0.27719155844155846,1377,672,0.3279648609077599,0.25078462694401027,0.016860611627596115,0.0021020707772981748
Lead Source,2,[7],913,0.12351190476190477,569,344,0.37677984665936476,0.03661924549143736,0.0001649152473185245,2.0613254188619427e-05
Lead Source,3,[3],2295,0.3104707792207792,1381,914,0.3982570806100218,-0.053886949306353016,0.0009069264837955188,0.00011335209613167526
Lead Source,4,[21 10 14 13  4  0],581,0.07859848484848485,40,541,0.9311531841652324,-3.0711593559940393,0.556145300088063,0.0508394659399846
Lead Source,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.6584125727854561,0.0634254220466911
Do Not Email,0,[1],598,0.0808982683982684,508,90,0.1505016722408027,1.2640522459867216,0.10141535590470004,0.01189508467715838
Do Not Email,1,[0],6794,0.9191017316017316,4035,2759,0.40609361201059757,-0.08648152477473187,0.006938443123736757,0.0008670352154987668
Do Not Email,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.1083537990284368,0.012762119892657147
Do Not Call,0,[0 1],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Do Not Call,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Last Activity,0,[16  2  9  1],1375,0.18601190476190477,1248,127,0.09236363636363637,1.8184909312092867,0.4184916782693234,0.04611807799805464
Last Activity,1,[15  7 10 14],679,0.09185606060606061,528,151,0.22238586156111928,0.7851969156298421,0.04964148956457118,0.006050538896641708
Last Activity,2,[ 3 13  5],3054,0.41314935064935066,1965,1089,0.3565815324165029,0.1236128701089062,0.00621700866733312,0.0007766316862589991
Last Activity,3,[12  8 17  6 11  0],2284,0.30898268398268397,802,1482,0.648861646234676,-1.080658729251013,0.37136533685001283,0.0442860378429205
Last Activity,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.8457155133512405,0.09723128642387585
Country,0,"[ 0 36 32 30 29 28 27 24 22 20 18 16 15 14 19 10 13  6  5  4 25 23  1 35
 37  9 34 12]",5338,0.7221320346320347,3387,1951,0.3654926938928438,0.08498298093316536,0.005161943443299275,0.000645048833270304
Country,1,[33 38 26  2  8 21 11  3  7],2054,0.2778679653679654,1156,898,0.4371957156767283,-0.21406855033137168,0.013002718163871399,0.0016222434573706247
Country,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.018164661607170673,0.0022672922906409286
Specialization,0,[19],1136,0.15367965367965367,1022,114,0.10035211267605634,1.7266987911076592,0.319348519658726,0.03559807951763823
Specialization,1,[16  2 18 13  3  8  9],855,0.11566558441558442,547,308,0.36023391812865496,0.10772948818691186,0.0013247398854331644,0.00016551245681611752
Specialization,2,[14 15 17  6  1 11],2486,0.33630952380952384,1445,1041,0.41874497184231696,-0.13869199932993137,0.006562850852635027,0.000819699490765444
Specialization,3,[4 7 0],1734,0.23457792207792208,936,798,0.4602076124567474,-0.30711265223371165,0.02274691994401668,0.0028322432158177403
Specialization,4,[12 10  5],1181,0.15976731601731603,593,588,0.497883149872989,-0.45815208016239667,0.034754372180251854,0.004306695761959592
Specialization,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.38473740252106275,0.043722230442997126
How did you hear about X Education,0,[10  5],1761,0.2382305194805195,1538,223,0.12663259511641112,1.4644468473439756,0.38115119265428593,0.043796385190688104
How did you hear about X Education,1,[2 4 7 9],601,0.08130411255411256,360,241,0.40099833610648916,-0.06531243330199432,0.00034931006144584264,4.365599862309749e-05
How did you hear about X Education,2,[3 8],908,0.12283549783549784,517,391,0.43061674008810574,-0.18728421673843165,0.004389882944056616,0.0005479348093113427
How did you hear about X Education,3,[6 1 0],4122,0.5576298701298701,2128,1994,0.4837457544881126,-0.40157963132174374,0.09295835859581446,0.011542340666247972
How did you hear about X Education,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.47884874425560287,0.055930316664870514
What is your current occupation,0,[6],2128,0.2878787878787879,1846,282,0.1325187969924812,1.4122498128631888,0.43406532373395235,0.0501557877021768
What is your current occupation,1,[3 4 0 2],4694,0.6350108225108225,2658,2036,0.4337452066467831,-0.2000326696587178,0.025916387431971694,0.0032341581999990807
What is your current occupation,2,[5 1],570,0.07711038961038962,39,531,0.9315789473684211,-3.0778199063737888,0.5472257629610568,0.04996933828831884
What is your current occupation,Totals,,7392,1.0,4543,2849,0.3854166666666667,,1.007207474126981,0.10335928419049473
What matters most to you in choosing a course,0,[3],2143,0.28990800865800864,1861,282,0.13159122725151656,1.420342654442642,0.441242381045626,0.05094150154232279
What matters most to you in choosing a course,1,[0 1],5249,0.7100919913419913,2682,2567,0.4890455324823776,-0.4227946482910117,0.13134500799631355,0.01629692412172755
What matters most to you in choosing a course,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.5725873890419395,0.06723842566405033
Search,0,[1 0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Search,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Magazine,0,[0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Magazine,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Newspaper Article,0,[1 0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Newspaper Article,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
X Education Forums,0,[1 0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
X Education Forums,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Newspaper,0,[1 0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Newspaper,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Digital Advertisement,0,[1 0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Digital Advertisement,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Through Recommendations,0,[0 1],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Through Recommendations,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Receive More Updates About Our Courses,0,[0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Receive More Updates About Our Courses,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Tags,0,[13 22 17 25 11  0 12  6 24],840,0.11363636363636363,833,7,0.008333333333333333,4.312503961850035,0.7801406409143611,0.057864311855558695
Tags,1,[21  3  8 14  4 23],1609,0.21766774891774893,1558,51,0.031696706028589185,2.952713062444873,0.9597621740176482,0.08945133502155245
Tags,2,[16 26 20  5 18 15  1],2842,0.38446969696969696,2096,746,0.2624912033779029,0.5664409139756769,0.11301792108391437,0.013941352291898038
Tags,3,[19],1670,0.2259199134199134,53,1617,0.9682634730538923,-3.8846554772864796,2.1594849046564257,0.17219469006427493
Tags,4,[10  2  9  7],431,0.058306277056277056,3,428,0.9930394431554525,-5.427130438175186,0.8117239254104162,0.05017114794279705
Tags,Totals,,7392,1.0,4543,2849,0.3854166666666667,,4.824129566082766,0.3836228371760811
Lead Quality,0,[4],481,0.06507034632034632,475,6,0.012474012474012475,3.904935803545091,0.40006246302806225,0.03179095563324706
Lead Quality,1,[5 3],4664,0.6309523809523809,3657,1007,0.2159090909090909,0.823047994169324,0.3716204351540237,0.04518427412905654
Lead Quality,2,[2],1264,0.170995670995671,306,958,0.7579113924050633,-1.607882207279975,0.4323626831243484,0.04888545188224486
Lead Quality,3,[1],468,0.0633116883116883,78,390,0.8333333333333334,-2.0760574436955954,0.2485473939528598,0.026468925397521104
Lead Quality,4,[0],515,0.06966991341991342,27,488,0.9475728155339805,-3.3610980711103133,0.5557406326952004,0.048413289538813936
Lead Quality,Totals,,7392,1.0,4543,2849,0.3854166666666667,,2.0083336079544942,0.20074289658088348
Update me on Supply Chain Content,0,[0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Update me on Supply Chain Content,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Get updates on DM Content,0,[0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Get updates on DM Content,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
Lead Profile,0,[5 6],2335,0.3158820346320346,2049,286,0.12248394004282655,1.5024958061575524,0.5268313016111509,0.06028396296549303
Lead Profile,1,[2],393,0.053165584415584416,247,146,0.37150127226463103,0.05916218365814563,0.00018478173382588354,2.3094348742822685e-05
Lead Profile,2,[4],3314,0.44832251082251084,1963,1351,0.40766445383222694,-0.09299067494523283,0.0039156647129373785,0.0004892818122425608
Lead Profile,3,[3 1 0],1350,0.18262987012987014,284,1066,0.7896296296296297,-1.7893138978260792,0.5576443584220272,0.061679803062764965
Lead Profile,Totals,,7392,1.0,4543,2849,0.3854166666666667,,1.0885761064799413,0.12247614218924338
City,0,[7],1118,0.15124458874458874,1001,117,0.10465116279069768,1.6799613132559696,0.30116992708506335,0.03376275901908466
City,1,[6 0],2645,0.35781926406926406,1579,1066,0.4030245746691871,-0.07374112173164254,0.00196141706136661,0.00024512159724086446
City,2,[1 3],860,0.11634199134199134,507,353,0.4104651162790698,-0.10457658460360869,0.0012865910546088885,0.00016075063803708137
City,3,[2 5],964,0.13041125541125542,527,437,0.4533195020746888,-0.27935217781572286,0.010443444832822715,0.001301202400710813
City,4,[4],1805,0.24418290043290045,929,876,0.4853185595567867,-0.40787688338404815,0.042005560846572726,0.0052145983436888525
City,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.35686694088043425,0.040684431998762274
Asymmetrique Activity Index,0,[2 0],940,0.12716450216450217,727,213,0.22659574468085106,0.7610147805625992,0.06488666160010453,0.007920607850801339
Asymmetrique Activity Index,1,[3],3355,0.4538690476190476,2026,1329,0.3961251862891207,-0.0449829051661117,0.0009229883808051535,0.00011536382133628398
Asymmetrique Activity Index,2,[1],3097,0.41896645021645024,1790,1307,0.42202131094607687,-0.15213834605091642,0.009850150335664144,0.0012300827044477835
Asymmetrique Activity Index,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.07565980031657382,0.009266054376585406
Asymmetrique Profile Index,0,[1],2265,0.30641233766233766,1583,682,0.3011037527593819,0.3754278707760551,0.04094638710542157,0.005088450128007602
Asymmetrique Profile Index,1,[3],3355,0.4538690476190476,2026,1329,0.3961251862891207,-0.0449829051661117,0.0009229883808051535,0.00011536382133628398
Asymmetrique Profile Index,2,[2 0],1772,0.23971861471861472,934,838,0.4729119638826185,-0.3581611935147357,0.03171419769216269,0.0039432207339796035
Asymmetrique Profile Index,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0735835731783894,0.00914703468332349
I agree to pay the amount through cheque,0,[0],7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
I agree to pay the amount through cheque,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
A free copy of Mastering The Interview,0,[1],2306,0.31195887445887444,1479,827,0.35862966175195143,0.11469723642561347,0.0040463475855571545,0.0005055163827873584
A free copy of Mastering The Interview,1,[0],5086,0.6880411255411255,3064,2022,0.3975619347227684,-0.05098539998142981,0.001798688935694822,0.00022481176746158918
A free copy of Mastering The Interview,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.005845036521251977,0.0007303281502489475
Last Notable Activity,0,[6 9 1 8],2931,0.3965097402597403,2278,653,0.22279085636301604,0.7828564834692012,0.21311509734053088,0.02597930820664881
Last Notable Activity,1,[14 10  2],432,0.05844155844155844,315,117,0.2708333333333333,0.523779172766382,0.014807447329041096,0.0018300589085048528
Last Notable Activity,2,[4],2269,0.30695346320346323,1432,837,0.36888497135301895,0.07038374576962048,0.0015078253357788554,0.00018843927257893196
Last Notable Activity,3,[13 12  0  5  7 11],1760,0.23809523809523808,518,1242,0.7056818181818182,-1.341122551495436,0.4317353309012441,0.05025450857342014
Last Notable Activity,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.661165700906595,0.07825231496115273
Converted,0,"(-inf, inf)",7392,1.0,4543,2849,0.3854166666666667,-2.220446049250313e-16,0.0,0.0
Converted,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.0,0.0
TotalVisits,0,"(-inf, 0.50)",1749,0.23660714285714285,1022,727,0.4156660949113779,-0.12602923803136457,0.0038080712230952407,0.0004756941268173479
TotalVisits,1,"[0.50, 2.50)",1666,0.22537878787878787,1179,487,0.2923169267707083,0.41753824619328594,0.03698677791088179,0.00459005286898442
TotalVisits,2,"[2.50, 3.50)",1048,0.14177489177489178,651,397,0.3788167938931298,0.02795383025988385,0.00011042437306317818,1.380259723670783e-05
TotalVisits,3,"[3.50, 7.50)",2161,0.2923430735930736,1301,860,0.3979639055992596,-0.052663441996543214,0.000815528133671658,0.00010192923804642519
TotalVisits,4,"[7.50, inf)",655,0.08860930735930736,360,295,0.45038167938931295,-0.2674908561511589,0.00650064636046835,0.0008101668763443107
TotalVisits,6,Missing,113,0.015286796536796536,30,83,0.7345132743362832,-1.4842627573959382,0.03343964318290935,0.003834105440639301
TotalVisits,Totals,,7392,1.0,4543,2849,0.3854166666666667,,0.08166109118408957,0.009825751148068513
Total Time Spent on Website,0,"(-inf, 1.50)",1759,0.2379599567099567,1029,730,0.41500852757248435,-0.12332132956988207,0.003666089700583029,0.00045797104548073956
Total Time Spent on Website,1,"[1.50, 416.50)",2860,0.3869047619047619,2456,404,0.14125874125874127,1.3382548800443876,0.5337064693449121,0.0621420808811557
Total Time Spent on Website,2,"[416.50, 663.50)",501,0.06777597402597403,360,141,0.281437125748503,0.47072460981049247,0.014004876963444041,0.0017346239648323289
Total Time Spent on Website,3,"[663.50, 1465.50)",1722,0.23295454545454544,551,1171,0.6800232288037166,-1.220498085706298,0.3536221318813508,0.04164855498113727
Total Time Spent on Website,4,"[1465.50, inf)",550,0.0744047619047619,147,403,0.7327272727272728,-1.475123506429442,0.16092958493258472,0.01847023400150516
Total Time Spent on Website,Totals,,7392,1.0,4543,2849,0.3854166666666667,,1.0659291528228745,0.1244534648741112
Page Views Per Visit,0,"(-inf, 0.50)",1749,0.23660714285714285,1022,727,0.4156660949113779,-0.12602923803136457,0.0038080712230952407,0.0004756941268173479
Page Views Per Visit,1,"[0.50, 1.22)",539,0.07291666666666667,390,149,0.2764378478664193,0.495580901916738,0.016625403536825196,0.0020571665109923223
Page Views Per Visit,2,"[1.22, 2.04)",1876,0.2537878787878788,1214,662,0.35287846481876334,0.13979088442094023,0.004873399424756293,0.0006086794044494297
